royaltyFee,sellerFee,sale,timestamp,royaltyPerc,sellerPerc
0.125,0.875,1.0,1602987169,12.5,87.5
0.0625,0.4375,0.5,1603023776,12.5,87.5
0.05,0.35,0.4,1597513464,12.5,87.5
0.1575,1.1025,1.26,1616720091,12.5,87.5
0.12375,0.86625,0.99,1615024311,12.5,87.5
0.0625,0.4375,0.5,1600456422,12.5,87.5
0.0425,0.2975,0.34,1614983305,12.499999999999998,87.5
0.025,0.175,0.2,1601915930,12.5,87.5
0.011875,0.083125,0.095,1614576360,12.5,87.5
0.01875,0.13125,0.15,1601548365,12.5,87.5
0.02125,0.14875,0.17,1601548365,12.499999999999998,87.5
0.0375,0.2625,0.3,1602417406,12.5,87.5
0.375,2.625,3.0,1614395546,12.5,87.5
0.0625,0.4375,0.5,1613083929,12.5,87.5
0.12375,0.86625,0.99,1608609828,12.5,87.5
0.1,0.7,0.8,1617313824,12.5,87.5
0.25,1.75,2.0,1616917356,12.5,87.5
0.125,0.875,1.0,1614433568,12.5,87.5
3.75,26.25,30.0,1613580807,12.5,87.5
0.04375,0.30625,0.35,1602026792,12.5,87.50000000000001
0.19875,1.39125,1.59,1609710100,12.5,87.5
0.5,3.5,4.0,1614021030,12.5,87.5
0.25,1.75,2.0,1609833693,12.5,87.5
0.225,1.575,1.8,1613510341,12.5,87.5
0.125,0.875,1.0,1607744451,12.5,87.5
0.0875,0.6125,0.7,1609429522,12.5,87.50000000000001
0.1125,0.7875,0.9,1614441015,12.5,87.5
0.08625,0.60375,0.69,1605207770,12.500000000000002,87.5
0.125,0.875,1.0,1611366729,12.5,87.5
0.3125,2.1875,2.5,1616737411,12.5,87.5
0.19875,1.39125,1.59,1609710282,12.5,87.5
0.625,4.375,5.0,1601307972,12.5,87.5
0.75,5.25,6.0,1602870214,12.5,87.5
0.5,3.5,4.0,1603037419,12.5,87.5
0.103125,0.721875,0.825,1600982689,12.5,87.5
0.1875,1.3125,1.5,1614367680,12.5,87.5
0.025,0.175,0.2,1608840623,12.5,87.5
0.1875,1.3125,1.5,1615271309,12.5,87.5
0.21875,1.53125,1.75,1614482048,12.5,87.5
0.1125,0.7875,0.9,1614454691,12.5,87.5
0.06625,0.46375,0.53,1602448331,12.5,87.5
0.375,2.625,3.0,1605560245,12.5,87.5
0.3125,2.1875,2.5,1606666187,12.5,87.5
0.2375,1.6625,1.9,1611020300,12.5,87.5
0.0875,0.6125,0.7,1608914175,12.5,87.50000000000001
0.0491,0.3437,0.3928,1602798333,12.500000000000002,87.5
0.9,5.1,6.0,1602568899,15.0,84.99999999999999
0.03125,0.21875,0.25,1602707667,12.5,87.5
0.25,1.75,2.0,1615664454,12.5,87.5
0.1875,1.3125,1.5,1614120457,12.5,87.5
0.125,0.875,1.0,1614617916,12.5,87.5
0.1875,1.3125,1.5,1616739412,12.5,87.5
0.15,1.05,1.2,1614135236,12.5,87.5
2.0,14.0,16.0,1602966638,12.5,87.5
0.0625,0.4375,0.5,1613944228,12.5,87.5
0.0625,0.4375,0.5,1610404333,12.5,87.5
0.075,0.525,0.6,1608608205,12.5,87.5
0.125,0.875,1.0,1616995700,12.5,87.5
0.375,2.625,3.0,1613824903,12.5,87.5
0.125,0.875,1.0,1605292367,12.5,87.5
0.15625,1.09375,1.25,1614335685,12.5,87.5
0.15625,1.09375,1.25,1614336405,12.5,87.5
0.0625,0.4375,0.5,1614380543,12.5,87.5
0.06875,0.48125,0.55,1614285601,12.5,87.5
0.0625,0.4375,0.5,1608169624,12.5,87.5
0.04,0.28,0.32,1613644196,12.5,87.50000000000001
0.0625,0.4375,0.5,1617612066,12.5,87.5
0.04125,0.28875,0.33,1614128775,12.5,87.5
0.0375,0.2625,0.3,1611281173,12.5,87.5
0.0375,0.2625,0.3,1611281364,12.5,87.5
0.0375,0.2625,0.3,1611283147,12.5,87.5
0.15625,1.09375,1.25,1614366887,12.5,87.5
0.125,0.875,1.0,1607974398,12.5,87.5
0.01035,0.05865,0.069,1607134008,14.999999999999998,85.0
0.375,2.625,3.0,1612289936,12.5,87.5
0.0625,0.4375,0.5,1614901842,12.5,87.5
0.064125,0.448875,0.513,1608102512,12.5,87.5
0.875,6.125,7.0,1613816971,12.5,87.5
0.1,0.7,0.8,1614696625,12.5,87.5
0.25,1.75,2.0,1617825570,12.5,87.5
0.4625,3.2375,3.7,1607040128,12.5,87.5
0.15,1.05,1.2,1616703709,12.5,87.5
0.375,2.625,3.0,1616965259,12.5,87.5
0.1,0.7,0.8,1614425812,12.5,87.5
0.1875,1.3125,1.5,1614698578,12.5,87.5
1.0,7.0,8.0,1614020309,12.5,87.5
0.125,0.875,1.0,1609654747,12.5,87.5
0.04875,0.34125,0.39,1608227413,12.5,87.5
0.04375,0.30625,0.35,1608617111,12.5,87.50000000000001
0.1125,0.7875,0.9,1610094047,12.5,87.5
0.09125,0.63875,0.73,1610094047,12.5,87.50000000000001
0.125,0.875,1.0,1611728318,12.5,87.5
0.0375,0.2625,0.3,1608745470,12.5,87.5
0.0125,0.0875,0.1,1609107815,12.5,87.5
0.125,0.875,1.0,1613851797,12.5,87.5
0.015,0.085,0.1,1618185520,15.0,85.0
0.15,0.85,1.0,1609150535,15.0,85.0
0.1875,1.3125,1.5,1615325361,12.5,87.5
0.0249,0.1411,0.166,1609799177,14.999999999999998,84.99999999999999
0.04375,0.30625,0.35,1614589603,12.5,87.50000000000001
0.075,0.525,0.6,1614638506,12.5,87.5
0.0625,0.4375,0.5,1615618819,12.5,87.5
0.075,0.525,0.6,1614524319,12.5,87.5
0.3125,2.1875,2.5,1614729819,12.5,87.5
0.375,2.625,3.0,1613428680,12.5,87.5
0.09375,0.65625,0.75,1617126351,12.5,87.5
0.75,5.25,6.0,1614908582,12.5,87.5
1.25,8.75,10.0,1614407154,12.5,87.5
0.24875,1.74125,1.99,1616978316,12.5,87.5
0.25,1.75,2.0,1617113750,12.5,87.5
0.125,0.875,1.0,1615607643,12.5,87.5
0.025,0.175,0.2,1611732143,12.5,87.5
0.08125,0.56875,0.65,1612795491,12.5,87.5
0.15,1.05,1.2,1613539907,12.5,87.5
0.125,0.875,1.0,1612992876,12.5,87.5
0.2125,1.4875,1.7,1612399808,12.5,87.5
3.75,26.25,30.0,1616522513,12.5,87.5
0.1375,0.9625,1.1,1616407642,12.5,87.5
0.5625,3.9375,4.5,1617727686,12.5,87.5
0.09375,0.65625,0.75,1613968444,12.5,87.5
0.075,0.525,0.6,1616843200,12.5,87.5
1.25,8.75,10.0,1614215244,12.5,87.5
0.125,0.875,1.0,1613816222,12.5,87.5
0.375,2.625,3.0,1615520135,12.5,87.5
0.375,2.625,3.0,1614975793,12.5,87.5
0.1875,1.3125,1.5,1616520191,12.5,87.5
0.1375,0.9625,1.1,1614698202,12.5,87.5
0.075,0.525,0.6,1617109007,12.5,87.5
0.15,1.05,1.2,1616262116,12.5,87.5
0.0875,0.6125,0.7,1617290490,12.5,87.50000000000001
0.5,3.5,4.0,1616177455,12.5,87.5
0.125,0.875,1.0,1617378357,12.5,87.5
0.24875,1.74125,1.99,1616002516,12.5,87.5
0.375,2.625,3.0,1614587368,12.5,87.5
0.0875,0.6125,0.7,1614314935,12.5,87.50000000000001
2.8332,16.0548,18.888,1614270995,14.999999999999998,85.0
2.2332,12.6548,14.888,1614270995,15.0,85.0
0.10625,0.74375,0.85,1614473965,12.5,87.5
0.009,0.063,0.072,1616067663,12.5,87.5
0.0375,0.2625,0.3,1615046946,12.5,87.5
0.45,2.55,3.0,1616447806,15.0,84.99999999999999
0.042,0.238,0.28,1615274914,15.0,84.99999999999999
0.125,0.875,1.0,1617721131,12.5,87.5
0.125,0.875,1.0,1617760613,12.5,87.5
0.1125,0.7875,0.9,1616037748,12.5,87.5
0.0375,0.2625,0.3,1616521813,12.5,87.5
0.125,0.875,1.0,1615982404,12.5,87.5
0.75,5.25,6.0,1615677367,12.5,87.5
0.3125,2.1875,2.5,1617577847,12.5,87.5
0.05,0.35,0.4,1615138553,12.5,87.5
1.0625,7.4375,8.5,1617326403,12.5,87.5
0.03125,0.21875,0.25,1618073904,12.5,87.5
0.125,0.875,1.0,1618331485,12.5,87.5
0.0375,0.2625,0.3,1618054438,12.5,87.5
0.01625,0.11375,0.13,1617730511,12.5,87.5
0.0875,0.6125,0.7,1616265127,12.5,87.50000000000001
0.12125,0.84875,0.97,1616918516,12.5,87.5
0.045,0.315,0.36,1617643291,12.5,87.5
0.075,0.425,0.5,1616441504,15.0,85.0
0.0875,0.6125,0.7,1616530039,12.5,87.50000000000001
0.19461,1.10279,1.2974,1615409792,15.0,84.99999999999999
0.5,3.5,4.0,1615521050,12.5,87.5
0.25,1.75,2.0,1615395688,12.5,87.5
0.25,1.75,2.0,1615339472,12.5,87.5
0.225,1.275,1.5,1616441507,15.0,84.99999999999999
1.125,7.875,9.0,1616298294,12.5,87.5
0.6875,4.8125,5.5,1615672865,12.5,87.5
0.75,5.25,6.0,1615677486,12.5,87.5
0.15425,1.07975,1.234,1617522233,12.5,87.5
0.2375,1.6625,1.9,1616430492,12.5,87.5
0.0272325,0.1906275,0.21786,1618391867,12.500000000000002,87.5
1.5,10.5,12.0,1617333156,12.5,87.5
0.875,6.125,7.0,1617157190,12.5,87.5
0.24875,1.74125,1.99,1616770801,12.5,87.5
0.075,0.525,0.6,1617313593,12.5,87.5
0.1,0.7,0.8,1617408539,12.5,87.5
0.04332,0.24548,0.2888,1617924833,15.0,85.0
